"V1","V2","V3"
1,0,31
1,0,31
1,0,31
1,0,31
1,0,31
1,0,30
1,0,30
1,0,30
1,0,30
1,0,30
1,0,25
1,0,25
1,0,25
1,0,25
1,0,25
1,0,36
1,0,36
1,0,36
1,0,36
1,0,36
1,0,22
1,0,22
1,0,22
1,0,22
1,0,22
1,0,29
1,0,29
1,0,29
1,0,29
1,0,29
1,0,31
1,0,31
1,0,31
1,0,31
1,0,31
1,0,36
1,0,36
1,0,36
1,0,36
1,0,36
1,0,37
1,0,37
1,0,37
1,0,37
1,0,37
1,0,28
1,0,28
1,0,28
1,0,28
1,0,28
1,0,36
1,0,36
1,0,36
1,0,36
1,0,36
1,0,24
1,0,24
1,0,24
1,0,24
1,0,24
1,0,28
1,0,28
1,0,28
1,0,28
1,0,28
1,0,36
1,0,36
1,0,36
1,0,36
1,0,36
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,26
1,0,28
1,0,28
1,0,28
1,0,28
1,0,28
1,0,31
1,0,31
1,0,31
1,0,31
1,0,31
1,0,32
1,0,32
1,0,32
1,0,32
1,0,32
1,0,21
1,0,21
1,0,21
1,0,21
1,0,21
1,0,29
1,0,29
1,0,29
1,0,29
1,0,29
1,0,21
1,0,21
1,0,21
1,0,21
1,0,21
1,0,32
1,0,32
1,0,32
1,0,32
1,0,32
1,0,25
1,0,25
1,0,25
1,0,25
1,0,25
1,0,30
1,0,30
1,0,30
1,0,30
1,0,30
1,0,40
1,0,40
1,0,40
1,0,40
1,0,40
1,0,19
1,0,19
1,0,19
1,0,19
1,0,19
1,0,22
1,0,22
1,0,22
1,0,22
1,0,22
1,1,18
1,1,18
1,1,18
1,1,18
1,1,18
1,1,32
1,1,32
1,1,32
1,1,32
1,1,32
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,18
1,1,18
1,1,18
1,1,18
1,1,18
1,1,24
1,1,24
1,1,24
1,1,24
1,1,24
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,35
1,1,35
1,1,35
1,1,35
1,1,35
1,1,57
1,1,57
1,1,57
1,1,57
1,1,57
1,1,20
1,1,20
1,1,20
1,1,20
1,1,20
1,1,22
1,1,22
1,1,22
1,1,22
1,1,22
1,1,28
1,1,28
1,1,28
1,1,28
1,1,28
1,1,23
1,1,23
1,1,23
1,1,23
1,1,23
1,1,40
1,1,40
1,1,40
1,1,40
1,1,40
1,1,43
1,1,43
1,1,43
1,1,43
1,1,43
1,1,21
1,1,21
1,1,21
1,1,21
1,1,21
1,1,35
1,1,35
1,1,35
1,1,35
1,1,35
1,1,25
1,1,25
1,1,25
1,1,25
1,1,25
1,1,26
1,1,26
1,1,26
1,1,26
1,1,26
1,1,25
1,1,25
1,1,25
1,1,25
1,1,25
1,1,22
1,1,22
1,1,22
1,1,22
1,1,22
1,1,32
1,1,32
1,1,32
1,1,32
1,1,32
1,1,25
1,1,25
1,1,25
1,1,25
1,1,25
1,1,35
1,1,35
1,1,35
1,1,35
1,1,35
1,1,21
1,1,21
1,1,21
1,1,21
1,1,21
1,1,41
1,1,41
1,1,41
1,1,41
1,1,41
1,1,32
1,1,32
1,1,32
1,1,32
1,1,32
1,1,26
1,1,26
1,1,26
1,1,26
1,1,26
1,1,21
1,1,21
1,1,21
1,1,21
1,1,21
1,1,36
1,1,36
1,1,36
1,1,36
1,1,36
1,1,37
1,1,37
1,1,37
1,1,37
1,1,37
